,code,text,tokens
239,"Complementing, expressing appreciation",the work you ve done to gather and clean this data is impressive enough on its own ,"['the', 'work', 'you', 've', 'done', 'to', 'gather', 'and', 'clean', 'this', 'data', 'is', 'impressive', 'enough', 'on', 'its', 'own']"
242,Negative Activating,i was,"['i', 'was']"
243,Negative Activating,sorry about the last graph being too small to read ,"['sorry', 'about', 'the', 'last', 'graph', 'being', 'too', 'small', 'to', 'read']"
244,"Complementing, expressing appreciation","thanks a lot, that is a really useful","['thanks', 'a', 'lot', 'that', 'is', 'a', 'really', 'useful']"
247,Personal advice,"some litle suggestions   maybe, you could complete your dataset with the kind of music","['some', 'litle', 'suggestions', 'maybe', 'you', 'could', 'complete', 'your', 'dataset', 'with', 'the', 'kind', 'of', 'music']"
248,"Complementing, expressing appreciation",wow  this is one of the best data viz i ve seen on this topic ,"['wow', 'this', 'is', 'one', 'of', 'the', 'best', 'data', 'viz', 'i', 've', 'seen', 'on', 'this', 'topic']"
249,Personal advice,maybe you can bring in complementary data to see if there is a correlation between the amount of revenue a department brings in and how much its faculty is compensated?,"['maybe', 'you', 'can', 'bring', 'in', 'complementary', 'data', 'to', 'see', 'if', 'there', 'is', 'a', 'correlation', 'between', 'the', 'amount', 'of', 'revenue', 'a', 'department', 'brings', 'in', 'and', 'how', 'much', 'its', 'faculty', 'is', 'compensated']"
251,Asking questions,"if we had pink bubble for females and blue bubble for male and then green for both sexes, would that be too distracting?","['if', 'we', 'had', 'pink', 'bubble', 'for', 'females', 'and', 'blue', 'bubble', 'for', 'male', 'and', 'then', 'green', 'for', 'both', 'sexes', 'would', 'that', 'be', 'too', 'distracting']"
252,"Complementing, expressing appreciation","wow, takura  this was such an interesting visualization and story to see and read ","['wow', 'takura', 'this', 'was', 'such', 'an', 'interesting', 'visualization', 'and', 'story', 'to', 'see', 'and', 'read']"
253,Personal advice,"you could take advantage of the location data to analize the """"unlucky 27"""" theory  it would be interesting to know if it was a repeated event per location","['you', 'could', 'take', 'advantage', 'of', 'the', 'location', 'data', 'to', 'analize', 'the', 'unlucky', '27', 'theory', 'it', 'would', 'be', 'interesting', 'to', 'know', 'if', 'it', 'was', 'a', 'repeated', 'event', 'per', 'location']"
254,Negative Activating,the only hiccup seemed to be slide 4,"['the', 'only', 'hiccup', 'seemed', 'to', 'be', 'slide', '4']"
257,Negative Activating,sorry attachments were missed in the original post the process was not quite clear ,"['sorry', 'attachments', 'were', 'missed', 'in', 'the', 'original', 'post', 'the', 'process', 'was', 'not', 'quite', 'clear']"
259,Vocatives (addressing individual),"hi david, ill love this kind of graphic","['hi', 'david', 'ill', 'love', 'this', 'kind', 'of', 'graphic']"
260,"Complementing, expressing appreciation",great work hideki nakane,"['great', 'work', 'hideki', 'nakane']"
261,"Complementing, expressing appreciation",this is absolutely brilliant i had such a good laugh,"['this', 'is', 'absolutely', 'brilliant', 'i', 'had', 'such', 'a', 'good', 'laugh']"
267,Asking questions,do you think adding this second layer to the graphic would distract from its primary purpose?,"['do', 'you', 'think', 'adding', 'this', 'second', 'layer', 'to', 'the', 'graphic', 'would', 'distract', 'from', 'its', 'primary', 'purpose']"
269,"Complementing, expressing appreciation","thank you, the race chart was my favorite to build","['thank', 'you', 'the', 'race', 'chart', 'was', 'my', 'favorite', 'to', 'build']"
270,Negative Activating,"i wonder if this was moved into an interactive, online version if the tags could pop up when a user hovered over each country?","['i', 'wonder', 'if', 'this', 'was', 'moved', 'into', 'an', 'interactive', 'online', 'version', 'if', 'the', 'tags', 'could', 'pop', 'up', 'when', 'a', 'user', 'hovered', 'over', 'each', 'country']"
272,Personal advice,some suggestions from my side   your viz deserves a title!,"['some', 'suggestions', 'from', 'my', 'side', 'your', 'viz', 'deserves', 'a', 'title']"
273,"Complementing, expressing appreciation",good job!,"['good', 'job']"
275,Personal advice,it would definitely be worth looking into ,"['it', 'would', 'definitely', 'be', 'worth', 'looking', 'into']"
276,Vocatives (addressing individual),"dear simon, thank you for taking time to comment and for your appreciations  )","['dear', 'simon', 'thank', 'you', 'for', 'taking', 'time', 'to', 'comment', 'and', 'for', 'your', 'appreciations']"
277,Vocatives (addressing individual),"hi julian,thank you very much for your in depth analysis ","['hi', 'julian', 'thank', 'you', 'very', 'much', 'for', 'your', 'in', 'depth', 'analysis']"
280,Asking questions,"perhaps also because of changing networks, they go to the hospital earlier and more often? thresholds changing?","['perhaps', 'also', 'because', 'of', 'changing', 'networks', 'they', 'go', 'to', 'the', 'hospital', 'earlier', 'and', 'more', 'often', 'thresholds', 'changing']"
281,Vocatives (addressing individual),"dear camilla,you are right,  life expectancy at birth  is a complex term ","['dear', 'camilla', 'you', 'are', 'right', 'life', 'expectancy', 'at', 'birth', 'is', 'a', 'complex', 'term']"
282,Personal advice,it would be also very interesting to compare this data with deforestation data!,"['it', 'would', 'be', 'also', 'very', 'interesting', 'to', 'compare', 'this', 'data', 'with', 'deforestation', 'data']"
283,Personal advice,"i think it would have been better to show with population increase, certainly!","['i', 'think', 'it', 'would', 'have', 'been', 'better', 'to', 'show', 'with', 'population', 'increase', 'certainly']"
284,"Complementing, expressing appreciation",comparing averages per economic class is also a good suggestion ,"['comparing', 'averages', 'per', 'economic', 'class', 'is', 'also', 'a', 'good', 'suggestion']"
285,Negative Activating,but after i had done several i couldn t get the scaling to hold when going back and forth to them ,"['but', 'after', 'i', 'had', 'done', 'several', 'i', 'couldn', 't', 'get', 'the', 'scaling', 'to', 'hold', 'when', 'going', 'back', 'and', 'forth', 'to', 'them']"
286,"Complementing, expressing appreciation",hi linda!wow! you have a great eye! i totally missed that ,"['hi', 'linda', 'wow', 'you', 'have', 'a', 'great', 'eye', 'i', 'totally', 'missed', 'that']"
288,Negative Activating,that may be a flourish problem ,"['that', 'may', 'be', 'a', 'flourish', 'problem']"
291,"Complementing, expressing appreciation",really nice work! i love the animation on the line charts    such a great technique ,"['really', 'nice', 'work', 'i', 'love', 'the', 'animation', 'on', 'the', 'line', 'charts', 'such', 'a', 'great', 'technique']"
292,Personal advice,if you are interested in growth in population at the county level and you want to highlight the growth of particular counties,"['if', 'you', 'are', 'interested', 'in', 'growth', 'in', 'population', 'at', 'the', 'county', 'level', 'and', 'you', 'want', 'to', 'highlight', 'the', 'growth', 'of', 'particular', 'counties']"
294,Personal advice,perhaps you might want to use color on one map   the one of the winning side,"['perhaps', 'you', 'might', 'want', 'to', 'use', 'color', 'on', 'one', 'map', 'the', 'one', 'of', 'the', 'winning', 'side']"
296,Negative Activating,i m left wondering why 11 has no data displayed at all ,"['i', 'm', 'left', 'wondering', 'why', '11', 'has', 'no', 'data', 'displayed', 'at', 'all']"
297,"Complementing, expressing appreciation",hi katica!amazing job!,"['hi', 'katica', 'amazing', 'job']"
298,Negative Activating,i found the graph a little bit difficult to understand ,"['i', 'found', 'the', 'graph', 'a', 'little', 'bit', 'difficult', 'to', 'understand']"
301,"Complementing, expressing appreciation",this is a lot of very good work ,"['this', 'is', 'a', 'lot', 'of', 'very', 'good', 'work']"
307,Asking questions,is there a threshold above or below which populations are at risk?,"['is', 'there', 'a', 'threshold', 'above', 'or', 'below', 'which', 'populations', 'are', 'at', 'risk']"
308,"Complementing, expressing appreciation",nice to see how you played around to get different insights from the data ,"['nice', 'to', 'see', 'how', 'you', 'played', 'around', 'to', 'get', 'different', 'insights', 'from', 'the', 'data']"
309,Vocatives (addressing individual),thank you annabelle ,"['thank', 'you', 'annabelle']"
310,"Complementing, expressing appreciation",ithink what you did was amazing   you told a great story ,"['ithink', 'what', 'you', 'did', 'was', 'amazing', 'you', 'told', 'a', 'great', 'story']"
311,Vocatives (addressing individual),"hi kevin,","['hi', 'kevin']"
312,Personal advice,one thing to consider with future predictions is that they is more uncertainty the farther out the prediction such as the year 2050 ,"['one', 'thing', 'to', 'consider', 'with', 'future', 'predictions', 'is', 'that', 'they', 'is', 'more', 'uncertainty', 'the', 'farther', 'out', 'the', 'prediction', 'such', 'as', 'the', 'year', '2050']"
313,Personal advice,my only suggestion is that it is better to write the explanations of the information on the head of the slide after the title,"['my', 'only', 'suggestion', 'is', 'that', 'it', 'is', 'better', 'to', 'write', 'the', 'explanations', 'of', 'the', 'information', 'on', 'the', 'head', 'of', 'the', 'slide', 'after', 'the', 'title']"
315,Asking questions,"am i correct that these flourish elements are static elements, like screen shots or pngs?","['am', 'i', 'correct', 'that', 'these', 'flourish', 'elements', 'are', 'static', 'elements', 'like', 'screen', 'shots', 'or', 'pngs']"
316,Personal advice,my only thought is that you could tell us in the first slide,"['my', 'only', 'thought', 'is', 'that', 'you', 'could', 'tell', 'us', 'in', 'the', 'first', 'slide']"
317,Personal advice,"it would be great if you can analyzethelevel of education,where production is concentrated and so on ","['it', 'would', 'be', 'great', 'if', 'you', 'can', 'analyzethelevel', 'of', 'education', 'where', 'production', 'is', 'concentrated', 'and', 'so', 'on']"
318,Personal advice,the points could have been labelled by years,"['the', 'points', 'could', 'have', 'been', 'labelled', 'by', 'years']"
320,"Complementing, expressing appreciation","hi jorge,thanks for your feedback ","['hi', 'jorge', 'thanks', 'for', 'your', 'feedback']"
321,Asking questions,do you think i could try and make a bar chart to avoid the overlapping?,"['do', 'you', 'think', 'i', 'could', 'try', 'and', 'make', 'a', 'bar', 'chart', 'to', 'avoid', 'the', 'overlapping']"
322,"Complementing, expressing appreciation","jorge,wonderful work!","['jorge', 'wonderful', 'work']"
324,"Complementing, expressing appreciation","cathelijn,i enjoyed discovering your project!it s both informative and easy to investigate ","['cathelijn', 'i', 'enjoyed', 'discovering', 'your', 'project', 'it', 's', 'both', 'informative', 'and', 'easy', 'to', 'investigate']"
325,"Complementing, expressing appreciation","thanks, nicola ","['thanks', 'nicola']"
327,Personal advice,"to fix that, i suggest adding another chart but withoutindianapoilis  numbers ","['to', 'fix', 'that', 'i', 'suggest', 'adding', 'another', 'chart', 'but', 'withoutindianapoilis', 'numbers']"
330,Personal advice,the second option is to google a converter from tsv to csv ,"['the', 'second', 'option', 'is', 'to', 'google', 'a', 'converter', 'from', 'tsv', 'to', 'csv']"
331,Asking questions,could you give some clue how to manage these data from eurostat?have you done the previous infogtaphi course from a cairo?,"['could', 'you', 'give', 'some', 'clue', 'how', 'to', 'manage', 'these', 'data', 'from', 'eurostat', 'have', 'you', 'done', 'the', 'previous', 'infogtaphi', 'course', 'from', 'a', 'cairo']"
333,Negative Activating,"indeed, it is not clear, it means that there is no data for the greyed out regions ","['indeed', 'it', 'is', 'not', 'clear', 'it', 'means', 'that', 'there', 'is', 'no', 'data', 'for', 'the', 'greyed', 'out', 'regions']"
336,Asking questions,what contributes to lack of trust?,"['what', 'contributes', 'to', 'lack', 'of', 'trust']"
338,Personal advice,"if possible come and take a look at my work, it can be accessed online dynamically ","['if', 'possible', 'come', 'and', 'take', 'a', 'look', 'at', 'my', 'work', 'it', 'can', 'be', 'accessed', 'online', 'dynamically']"
340,Vocatives (addressing individual),"hi elena, thanks for your reply ","['hi', 'elena', 'thanks', 'for', 'your', 'reply']"
341,Asking questions,is there reason to be worried?,"['is', 'there', 'reason', 'to', 'be', 'worried']"
342,"Complementing, expressing appreciation",great work!,"['great', 'work']"
345,Negative Activating,i have often trouble with data in this kind of way ,"['i', 'have', 'often', 'trouble', 'with', 'data', 'in', 'this', 'kind', 'of', 'way']"
